*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Nixie_Main_PCB V12
*Date=23:25:49
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;97.3105;-1.93976;0;Bottom;Via48
2;;;93.3158;-20.9475;0;Bottom;Via15
3;100nF;100 mil [THT, multilayer];19.3157;-31.2223;90;Bottom;C2
4;;300 mil [THT];8.81573;-15.163;-90;Bottom;D2
5;;;50.8157;-16.9475;0;Bottom;Via9
6;10k;THT;24.8157;-21.5276;90;Bottom;R9
7;;;58.3158;-11.9477;0;Bottom;Via37
8;;;78.3157;-15.9476;0;Bottom;Via20
9;;DIP16 [THT];92.0456;-28.7576;-90;Bottom;U3
10;4.7µF;100 mil [THT, electrolytic];13.0457;-31.4476;0;Bottom;C1
11;;2x5-ra;110.648;-31.4476;0;Bottom;JP2
12;;2x5-ra;110.648;-8.44758;0;Bottom;JP1
13;1k;THT;53.2359;-29.4476;180;Bottom;R8
14;100nF;100 mil [THT, multilayer];13.041;-17.4476;0;Bottom;C3
15;;;27.3157;-1.94758;0;Bottom;Hole1
16;;;27.8157;-24.9476;0;Bottom;Via32
17;;;113.813;-31.4087;-90;Bottom;TXT2
18;;;105.3;-15.4511;0;Bottom;Via51
19;;THT;52.3158;-11.2175;0;Bottom;J2
20;;THT;59.5857;-7.44758;90;Bottom;J5
21;100nF;100 mil [THT, multilayer];75.3158;-3.17752;90;Bottom;C6
22;;;24.8157;-21.4476;0;Bottom;Via33
23;100µH;400 mil [THT];52.7357;-20.4476;180;Bottom;L2
24;;THT;48.3156;-12.4076;0;Bottom;J3
25;33k;THT;35.8157;-12.0276;90;Bottom;R12
26;;;95.8046;-14.9491;0;Bottom;Via49
27;;;42.8157;-32.4476;0;Bottom;Via38
28;;;101.802;-36.4613;0;Bottom;Via41
29;;;105.3;-8.96733;0;Bottom;Via52
30;;;68.3157;-19.9475;0;Bottom;Via3
31;100nF;100 mil [THT, multilayer];78.041;-13.9476;0;Bottom;C8
32;;THT;51.0457;-2.94758;-90;Bottom;J4
33;330µH;400 mil [THT];3.81573;-21.8676;90;Bottom;L1
